BIN,PRODUCTO,NATURALEZA,MARCA
23085236,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085237,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085238,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085239,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085240,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085241,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085242,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085243,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085244,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085245,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085246,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085247,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085248,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085249,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085250,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085251,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085252,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085253,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085254,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085255,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085256,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085257,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085258,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085259,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085260,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085261,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085262,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085263,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085264,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085265,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085266,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085267,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085268,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085269,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085270,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085271,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085272,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085273,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085274,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085275,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085276,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085277,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085278,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085279,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085280,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085281,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085282,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085283,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085284,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085285,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085286,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085287,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085288,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085289,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085290,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085291,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085292,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085293,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085294,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085295,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085296,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085297,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085298,CREDITO MASTER CARD,CREDITO,MASTER CARD
23085299,CREDITO MASTER CARD,CREDITO,MASTER CARD
23086000,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086001,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086002,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086003,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086004,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086005,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086006,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086007,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086008,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086009,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086010,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086011,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086012,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086013,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086014,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086015,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086016,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086017,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086018,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086019,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086020,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086021,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086022,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086023,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086024,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086025,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086026,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086027,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086028,BANKAOOL DEBITO,DEBITO,MASTER CARD
23086029,BANKAOOL DEBITO,DEBITO,MASTER CARD
